cidade,codigo_pais,temperatura,sensacao_termica,temperatura_min,temperatura_max,umidade,descricao_clima,horario_medicao
Bishkek,KG,19.11,18.15,19.11,19.11,41,nublado,26/09/2025 18:11:51
Pretoria,ZA,22.49,21.89,22.49,22.49,42,algumas nuvens,26/09/2025 18:08:35
Bucharest,RO,14.1,12.77,13.25,15.05,46,céu limpo,26/09/2025 18:10:02
Lomé,TG,25.97,25.97,25.97,25.97,83,nublado,26/09/2025 18:12:37
Tashkent,UZ,20.97,20.04,20.97,20.97,35,fumaça,26/09/2025 18:12:39
Taipei,TW,28.36,28.57,27.8,29.47,47,nuvens dispersas,26/09/2025 18:11:19
Maseru,LS,20.21,19.15,20.21,20.21,33,nuvens dispersas,26/09/2025 18:12:43
Djibouti,DJ,29.59,29.8,29.59,29.59,45,nublado,26/09/2025 18:12:46
Warsaw,PL,12.15,10.78,10.31,13.24,52,céu limpo,26/09/2025 18:08:45
Podgorica,ME,21.88,22.16,21.88,21.88,78,nuvens dispersas,26/09/2025 18:12:49
Dushanbe,TJ,19.9,18.91,19.9,19.9,37,céu limpo,26/09/2025 18:12:50
Madrid,ES,23.97,23.05,23.45,25.13,24,céu limpo,26/09/2025 18:08:19
Bratislava,SK,12.44,12.09,12.07,13.09,90,nublado,26/09/2025 18:09:19
Havana,CU,32.24,38.29,31.96,32.24,62,nublado,26/09/2025 18:12:58
Accra,GH,25.54,26.4,25.54,25.54,86,nublado,26/09/2025 18:12:59
Belmopan,BZ,32.85,39.14,32.85,32.85,60,algumas nuvens,26/09/2025 18:13:00
Ankara,TR,17.34,16.46,16.51,17.34,51,nublado,26/09/2025 18:13:03
Oslo,NO,9.2,9.2,8.47,9.2,89,nuvens dispersas,26/09/2025 18:13:06
Wellington,NZ,8.09,5.6,8.09,9.81,83,nublado,26/09/2025 18:08:51
Managua,NI,32.36,37.93,32.36,32.36,60,chuva leve,26/09/2025 18:12:43
Yerevan,AM,20.09,19.07,20.09,20.09,35,céu limpo,26/09/2025 18:08:34
Philipsburg,SX,28.45,31.72,28.45,28.45,71,nublado,26/09/2025 18:13:12
Riyadh,SA,34.4,31.83,34.4,34.4,11,nuvens dispersas,26/09/2025 18:11:40
Yaren,NR,27.8,30.41,27.8,27.8,71,algumas nuvens,26/09/2025 18:09:10
Tirana,AL,21.49,21.08,21.49,21.49,53,nublado,26/09/2025 18:13:16
Ottawa,CA,21.64,21.48,21.53,21.99,62,nuvens dispersas,26/09/2025 18:12:51
Kabul,AF,19.73,19.01,19.73,19.73,48,céu limpo,26/09/2025 18:13:19
Islamabad,PK,26.58,26.58,26.58,26.58,57,céu limpo,26/09/2025 18:08:23
Rabat,MA,23.04,23.44,23.04,23.04,78,algumas nuvens,26/09/2025 18:10:09
Gaborone,BW,21.95,21.58,21.95,21.95,53,céu limpo,26/09/2025 18:09:18
Berlin,DE,15.39,14.45,14.49,16.1,56,nublado,26/09/2025 18:10:13
Reykjavik,IS,10.5,9.46,10.5,10.5,71,nublado,26/09/2025 18:09:01
Tórshavn,FO,12.66,12.2,12.66,12.66,85,nublado,26/09/2025 18:10:47
Canberra,AU,9.91,8.08,8.6,12.04,62,céu limpo,26/09/2025 18:10:07
Kinshasa,CD,28.63,30.02,28.63,28.63,57,nublado,26/09/2025 18:13:32
Harare,ZW,21.21,20.54,21.21,21.21,44,nuvens dispersas,26/09/2025 18:13:33
Brasília,BR,27.51,27.44,27.51,27.81,43,nuvens dispersas,26/09/2025 18:10:52
Mariehamn,AX,6.92,6.92,6.92,6.92,93,céu limpo,26/09/2025 18:13:36
Mogadishu,SO,25.13,25.94,25.13,25.13,86,nublado,26/09/2025 18:13:39
Abuja,NG,27.08,30.53,27.08,27.08,86,nublado,26/09/2025 18:13:40
Ramallah,PS,20.33,20.69,20.3,20.33,87,céu limpo,26/09/2025 18:13:42
Doha,QA,30.99,37.57,30.99,32.17,70,céu limpo,26/09/2025 18:09:38
Sucre,BO,21.89,20.84,21.89,21.89,27,algumas nuvens,26/09/2025 18:13:45
Asmara,ER,17.27,16.8,17.27,17.27,67,nuvens dispersas,26/09/2025 18:13:46
Majuro,MH,28.53,31.89,28.53,28.53,71,nublado,26/09/2025 18:09:43
Paramaribo,SR,32.95,38.69,32.95,32.95,58,nuvens dispersas,26/09/2025 18:13:49
Astana,KZ,13.97,13.56,13.97,13.97,82,céu limpo,26/09/2025 18:09:38
Dodoma,TZ,23.73,23.15,23.73,23.73,38,céu limpo,26/09/2025 18:13:55
