cidade,codigo_pais
West Island,CC
"Washington, D.C.",US
City of San Marino,SM
Port of Spain,TT
The Valley,AI
N'Djamena,TD
Charlotte Amalie,VI
Road Town,VG
St. George's,GD
Fakaofo,TK
Andorra la Vella,AD
Addis Ababa,ET
San Salvador,SV
Guatemala City,GT
Saint John's,AG
Santo Domingo,DO
George Town,KY
Cockburn Town,TC
Pago Pago,AS
Kuwait City,KW
San Juan,PR
Mexico City,MX
Panama City,PA
Bandar Seri Begawan,BN
Vatican City,VA
Port Louis,MU
Buenos Aires,AR
San José,CR
South Tarawa,KI
Port Vila,VU
Flying Fish Cove,CX
Washington DC,UM
São Tomé,ST
Ulan Bator,MN
Nuku'alofa,TO
Sri Jayawardenepura Kotte,LK
Ngerulmud,PW
Saint Helier,JE
Kuala Lumpur,MY
Phnom Penh,KH
St. Peter Port,GG
Diego Garcia,IO
King Edward Point,GS
Abu Dhabi,AE
Sana'a,YE
New Delhi,IN
Port Moresby,PG
City of Victoria,HK
El Aaiún,EH
